subj_id,rt,confidence,correct,present,easy
59,3.389,1,1,1,1
59,3.2579000000003724,0.3055555555555556,1,-1,0
59,2.11510000000149,0.7333333333333334,1,1,0
59,2.7575999999996275,0.4069444444444445,1,-1,1
59,1.8181999999992549,0.8013888888888889,1,1,1
59,2.2460999999996276,0.18888888888888888,0,-1,0
59,1.923300000000745,0.8138888888888889,1,1,0
59,1.8527000000011176,0.21666666666666667,0,-1,1
59,2.0530999999996276,0.5055555555555555,1,-1,1
59,1.8302000000011176,0.7708333333333334,1,1,1
59,2.109800000000745,0.7791666666666667,1,1,0
59,2.091,0.43194444444444446,1,-1,0
59,1.851699999999255,0.7833333333333333,1,-1,1
59,2.75510000000149,0.08194444444444449,1,1,0
59,1.8617999999988823,0.7597222222222222,1,1,1
59,2.2330999999996273,0.24861111111111112,1,-1,0
59,2.5792999999988826,0.14166666666666672,0,1,0
59,1.70739999999851,1,1,1,1
59,1.773800000000745,0.6013888888888889,1,-1,1
59,1.7384000000003723,0.6777777777777778,1,-1,0
59,2.0365,0.3472222222222222,1,-1,0
59,1.6910999999996277,0.13888888888888884,1,-1,1
59,2.0454000000003725,0.8833333333333333,1,1,1
59,3.58889999999851,0.4305555555555556,0,1,0
59,3.210800000000745,0.3222222222222222,1,1,1
59,1.9259000000003723,0.1958333333333333,1,-1,0
59,3.4199000000003723,0.1930555555555555,0,1,0
59,1.8025,0.3833333333333333,1,-1,1
59,2.398199999999255,0.1791666666666667,0,1,0
59,1.7887999999988824,0.7666666666666666,1,-1,1
59,2.101,0.47777777777777775,1,1,1
59,1.835199999999255,0.9541666666666668,1,-1,0
59,1.681,1,1,1,1
59,1.6309000000003724,1,1,1,0
59,2.4484000000003725,0.5555555555555556,1,-1,1
59,1.680199999999255,1,1,-1,0
59,1.7175,0.9152777777777776,1,1,0
59,1.723800000000745,0.9263888888888888,1,1,1
59,1.8642000000011176,0.8597222222222223,1,-1,1
59,1.7569000000003723,0.9916666666666668,1,-1,0
59,1.599199999999255,0.9111111111111112,1,1,1
59,1.6287000000011176,0.8805555555555555,1,1,0
59,1.81410000000149,0.41666666666666663,1,-1,0
59,1.891,0.6944444444444444,1,-1,1
59,1.850699999999255,0.8,1,-1,1
59,1.9567999999988823,0.8652777777777778,1,1,1
59,1.6578000000007451,0.9388888888888888,1,1,0
59,1.9840999999996276,0.4055555555555555,1,-1,0
59,2.3335,0.6611111111111111,1,1,0
59,1.8882000000011177,0.8416666666666667,1,-1,0
59,1.5622000000011176,0.9527777777777776,1,1,1
59,1.6558000000007451,0.8555555555555556,1,-1,1
59,1.698199999999255,0.4013888888888889,1,-1,1
59,2.1875,0.7875,1,1,1
59,1.8257999999988823,0.31666666666666665,1,-1,0
59,1.8653000000007451,0.8527777777777777,1,1,0
59,1.5774000000003723,0.9194444444444444,1,1,1
59,1.9295999999996276,0.26388888888888884,1,-1,0
59,1.6097999999988823,0.8819444444444444,1,1,0
59,2.087699999999255,0.4444444444444444,1,-1,1
59,1.6209000000003724,0.7986111111111112,1,1,1
59,1.545199999999255,0.9208333333333334,1,1,0
59,1.7775999999996277,0.3416666666666667,1,-1,0
59,1.62939999999851,0.7875,1,-1,1
52,2.501199999999255,0.3933333333333333,1,-1,0
52,2.0538999999985097,0.6288888888888888,1,1,0
52,3.4108000000007452,0.3466666666666667,1,-1,1
52,1.946800000000745,0.6955555555555555,1,1,1
52,2.694699999999255,0.6955555555555555,1,1,0
52,1.890300000000745,0.6955555555555555,1,-1,0
52,1.88529999999702,0.6955555555555555,1,-1,1
52,1.8096000000014898,0.8555555555555556,1,1,1
52,1.749199999999255,0.8555555555555556,1,1,1
52,1.813199999999255,0.8555555555555556,1,-1,0
52,1.7502000000029803,0.8555555555555556,1,1,0
52,2.272800000000745,0.8555555555555556,1,-1,1
52,2.026300000000745,0.8555555555555556,1,1,0
52,1.737300000000745,0.8555555555555556,1,1,1
52,1.927099999997765,0.8555555555555556,1,-1,1
52,1.7927000000029802,0.8555555555555556,1,-1,0
52,3.21510000000149,0.8288888888888889,0,-1,1
52,1.8695,0.8355555555555556,1,1,1
52,1.85710000000149,0.8355555555555556,1,-1,0
52,1.8543999999985101,0.8355555555555556,0,1,0
52,2.051199999999255,0.8355555555555556,1,1,0
52,1.938,0.8355555555555556,1,-1,0
52,2.6805,0.8355555555555556,1,-1,1
52,1.573199999999255,0.8355555555555556,1,1,1
52,1.7305,0.8355555555555556,1,-1,0
52,1.7023999999985102,0.8355555555555556,1,-1,1
52,2.03389999999851,0.8355555555555556,1,1,0
52,2.153800000000745,0.8355555555555556,1,1,1
52,2.02060000000149,0.8355555555555556,1,1,1
52,1.7509000000022352,0.8355555555555556,1,-1,0
52,1.923300000000745,0.8355555555555556,1,1,0
52,1.7769000000022352,0.8355555555555556,1,-1,1
52,2.90439999999851,0.8355555555555556,1,-1,1
52,2.199800000000745,0.8355555555555556,1,-1,0
52,1.5761999999992549,0.8355555555555556,1,1,1
52,1.5475,0.8355555555555556,1,1,0
52,1.5833999999985102,0.8333333333333334,1,1,0
52,1.792400000002235,0.7977777777777778,1,-1,1
52,1.696,0.7977777777777778,1,1,1
52,1.676300000000745,0.7977777777777778,1,-1,0
52,1.486199999999255,0.8,1,1,0
52,1.920699999999255,0.8,1,-1,1
52,1.8315999999977648,0.8,1,-1,0
52,1.629199999999255,0.8,1,1,1
52,1.569800000000745,0.8044444444444444,1,1,1
52,1.8758999999985102,0.8044444444444444,1,-1,1
52,1.5091000000014898,0.8044444444444444,1,1,0
52,1.9136000000014899,0.8044444444444444,1,-1,0
52,1.6785999999977648,1,1,1,0
52,1.526199999999255,0.8044444444444444,1,1,1
52,1.671300000000745,0.8044444444444444,1,-1,1
52,1.8681000000014898,0.8044444444444444,1,-1,0
52,1.7252000000029801,0.8044444444444444,1,1,1
52,1.6321000000014898,0.8,1,-1,1
52,1.8168000000007452,0.8,1,-1,0
52,1.7466000000014898,0.8,1,1,0
52,1.4993999999985101,0.8,1,1,0
52,1.7064000000022352,0.8,1,-1,0
52,1.63089999999851,0.8,1,1,1
52,1.659300000000745,0.8022222222222222,1,-1,1
52,1.50010000000149,0.8022222222222222,1,1,1
52,1.8053999999985102,0.8022222222222222,1,-1,0
52,2.463,0.8022222222222222,1,1,0
